    T\Z       3.16228E-01  1.0000E+00  3.0000E+00
              
   1.0000E+01  7.3504E-28  8.7394E-28  1.2816E-27 
   1.0209E+01  7.5586E-28  9.0958E-28  1.3607E-27 
   1.0423E+01  7.7669E-28  9.4705E-28  1.4470E-27 
   1.0641E+01  7.9984E-28  9.8897E-28  1.5438E-27 
   1.0864E+01  8.2345E-28  1.0336E-27  1.6500E-27 
   1.1091E+01  8.4937E-28  1.0831E-27  1.7687E-27 
   1.1324E+01  8.7619E-28  1.1363E-27  1.8994E-27 
   1.1561E+01  9.0544E-28  1.1952E-27  2.0450E-27 
   1.1803E+01  9.3605E-28  1.2589E-27  2.2057E-27 
   1.2050E+01  9.6929E-28  1.3291E-27  2.3843E-27 
   1.2302E+01  1.0044E-27  1.4054E-27  2.5815E-27 
   1.2559E+01  1.0424E-27  1.4894E-27  2.8003E-27 
   1.2822E+01  1.0827E-27  1.5809E-27  3.0416E-27 
   1.3091E+01  1.1264E-27  1.6814E-27  3.3086E-27 
   1.3365E+01  1.1729E-27  1.7909E-27  3.6027E-27 
   1.3645E+01  1.2232E-27  1.9110E-27  3.9273E-27 
   1.3930E+01  1.2771E-27  2.0419E-27  4.2841E-27 
   1.4222E+01  1.3352E-27  2.1852E-27  4.6767E-27 
   1.4520E+01  1.3975E-27  2.3411E-27  5.1073E-27 
   1.4823E+01  1.4646E-27  2.5114E-27  5.5795E-27 
   1.5134E+01  1.5366E-27  2.6965E-27  6.0960E-27 
   1.5451E+01  1.6142E-27  2.8980E-27  6.6606E-27 
   1.5774E+01  1.6974E-27  3.1167E-27  7.2763E-27 
   1.6104E+01  1.7868E-27  3.3541E-27  7.9472E-27 
   1.6441E+01  1.8828E-27  3.6112E-27  8.6765E-27 
   1.6785E+01  1.9857E-27  3.8894E-27  9.4684E-27 
   1.7137E+01  2.0960E-27  4.1900E-27  1.0327E-26 
   1.7496E+01  2.2141E-27  4.5145E-27  1.1255E-26 
   1.7862E+01  2.3405E-27  4.8639E-27  1.2259E-26 
   1.8236E+01  2.4756E-27  5.2400E-27  1.3341E-26 
   1.8617E+01  2.6198E-27  5.6440E-27  1.4506E-26 
   1.9007E+01  2.7737E-27  6.0774E-27  1.5758E-26 
   1.9405E+01  2.9376E-27  6.5416E-27  1.7102E-26 
   1.9811E+01  3.1121E-27  7.0382E-27  1.8542E-26 
   2.0226E+01  3.2977E-27  7.5686E-27  2.0082E-26 
   2.0649E+01  3.4948E-27  8.1342E-27  2.1728E-26 
   2.1082E+01  3.7038E-27  8.7366E-27  2.3483E-26 
   2.1523E+01  3.9253E-27  9.3771E-27  2.5351E-26 
   2.1974E+01  4.1596E-27  1.0057E-26  2.7337E-26 
